"ID","Type","Name","Documentation","Source","Target","Specialization"
"id-73bed447dec04442a48ca36449cb5843","AccessRelationship","","","id-1fed1c57ed7e479b8e7951116ee61942","id-3f8f8f0717954f9db561489537027d1f",""
"id-7ba9ebef70e3475886e5d518cd33f0a0","AccessRelationship","","","EAID_AAB1269E_7BD3_43de_B44C_44417E32B9C2","id-98218ee9f891475783d992a0aaa1f029",""
"id-5068837101954e3a971939a3d9731255","AccessRelationship","","","id-e508c830ee24471886d93a6d0d38d4ae","id-0e01a8032129446390c14fcdb0998b67",""
"id-c24a7ec9eadf47aab9927a4476640fac","AccessRelationship","","","id-aaeb4f1b15a7403bbb3753e5965254de","id-ced8fc55576b440383185efc14197c51",""
"id-c90a6005be3e4b6aa8f99ce5d4982519","AccessRelationship","","","id-deca773469d64930913384ac9e0ce36b","id-f6a81d02846d4681ad3dc1fe80dc5a31",""
"id-72d61437182e46b29c882c7b05c5d48a","AccessRelationship","","","id-1f790482a7e4459db403b231f1a8c020","id-541092cde11a4fb49141cbad6ffe4f4d",""
"id-0231694e70314190aa12eb7b03b38d2b","AccessRelationship","","","id-93c724927bfd4b66b62e5a9c3584f1d3","id-0068599de4664df6b679126e34dc9a06",""
"id-1675ffada1d64bcdba955eba1d001dd6","AccessRelationship","","","id-1fed1c57ed7e479b8e7951116ee61942","id-033b64da759743288011d3e8ac261c85",""
"id-578b5eebab85468a892e5c66706b5626","AccessRelationship","","","id-deca773469d64930913384ac9e0ce36b","id-f56cb6cd4ce642e0b385debd784b2f5e",""
"EAID_C3E81203_6487_48b1_A54A_D94033867D59","AccessRelationship","","","EAID_D055AE5E_4ACC_4fbf_93DC_A521D967770A","EAID_01AE7FE7_5E3A_4d6b_9922_E7601F1DB32D",""
"EAID_C70E059F_64BA_41cd_BD90_49A40783E059","AccessRelationship","","","EAID_B768A82C_7D1C_43bc_8BAB_023FCFB0987C","EAID_A6484B7F_6098_49b0_BC0C_EC969661F79C",""
"id-93ecf748a2cd409d871688bd67f0b2a2","AccessRelationship","","","id-311dd552c9a942c19308621b67e936b3","id-2a0ac92ff43e42a78f571d35bcfe71da",""
"id-3a7fe37d71e744b1bbdc1810f9879f78","AccessRelationship","","","id-9138a534ea3a4ac1895adb46e5344669","id-6a22733b592d462aace2c3ad6f0d2ee7",""
"EAID_0AD84F74_0C60_482e_8588_A4BF0CEFC82A","AccessRelationship","","","EAID_B1D264FA_0549_4f7b_992A_46139B679507","EAID_49915492_9007_4083_8D75_715C3C767EE4",""
"id-2b40aa4a016e47ba9327df3d4cd8951a","AccessRelationship","","","id-105d3424aef34f3a8dd725e51bb85e49","id-ad35c321a8704123879535f2473f2115",""
"id-b9ac96ff0bf444d2a74e38c7083045c5","AccessRelationship","","","id-deca773469d64930913384ac9e0ce36b","id-8b8f4d61b8dd4d9196d29b400fdd3635",""
"id-ec9bf9f555a14b8098c12eeb2a28ef4c","AccessRelationship","","","id-deca773469d64930913384ac9e0ce36b","id-a93a3356f9dd45a8bc159016d30d3a6b",""
"EAID_4C555B54_3595_43d4_B0E8_4EA4F7073C56","AccessRelationship","","","EAID_8498C704_8821_4d32_8D51_177A849D2326","EAID_9E4FBA8F_46DC_4f4c_A61A_ADFA641F74F5",""
"id-7671cceecbfe4820a7ae777c4fb2e4ec","AccessRelationship","","","EAID_AAB1269E_7BD3_43de_B44C_44417E32B9C2","id-541092cde11a4fb49141cbad6ffe4f4d",""
